#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Year,Time,Added At
212,D.I.Y.,"NOIXES,Michael Wavves",17,"bass trap, traprun,",Dance/Electronic,Endemic III,2020,2:44,2021-03-12
213,Kura,"TORU,Margvelani",11,"traprun,",Dance/Electronic,Kura,2020,2:26,2021-03-12
214,Light,E.P.O,23,"bass trap, traprun",Dance/Electronic,Light,2020,3:41,2021-03-12
215,Never Stop,"Moistrus,Meagan Hillyer",26,"traprun,",Dance/Electronic,Never Stop,2020,2:41,2021-03-12
216,As I Am,Zaitex,33,,,As I Am,2018,3:20,2021-03-12
217,Oxygen,Morfil,33,,,Oxygen,2019,3:33,2021-03-12
218,100,Lucha,8,"arab trap, traprun",Dance/Electronic,100,2020,2:34,2021-03-12
219,Champions,WAR*HALL,34,"modern alternative rock, rebel blues","Rock, Blues",Last One Standing,2019,3:09,2021-03-12
220,Ready to Play,Club Danger,42,modern alternative rock,Rock,Ready to Play,2019,2:55,2021-03-12
221,Fuego,Hopex,44,"bass trap, traprun, turkish trap",Dance/Electronic,Fuego,2018,2:50,2021-03-12
222,No Glory (feat. M.I.M.E & Drama B),"Skan,Krale,M.I.M.E,Drama B",64,"bass trap, traprun, gaming edm, deep underground hip hop","Dance/Electronic, Hip Hop",No Glory (feat. M.I.M.E & Drama B),2017,4:36,2021-03-12
223,Control,"Unknown Brain,Rival,Jex",68,"bass trap, gaming edm, traprun, pop edm,",Dance/Electronic,Control,2018,2:46,2021-03-12
224,Fight Back,NEFFEX,76,,,Fight Back: The Collection,2018,3:20,2021-03-12
225,Fearless,Lost Sky,72,gaming edm,Dance/Electronic,Fearless,2017,3:14,2021-03-12
226,The Sword of Destiny (From "The Witcher III: Wild Hunt"),"Jillian Aversa,Erutan",36,"medieval folk, otacore","Folk/Acoustic, Pop",The Sword of Destiny (From "The Witcher III: Wild Hunt"),2020,2:26,2021-03-12
227,Foundations feat. Adara - Original Mix,MitiS,40,"chillstep, edm, electro house, filthstep, future bass, melodic dubstep, pop edm",Dance/Electronic,Foundations feat. Adara,2016,4:54,2021-03-12
228,Sky Fracture - VIP,"Getsix,Miss Lina",38,"speedrun,",,Tree of Life (Chapter One),2019,5:37,2021-03-12
229,Spaced,The Toxic Avenger,46,"dark clubbing, electro house, filter house",Dance/Electronic,"Globe, Vol. 3",2017,4:48,2021-03-12
230,Mandragora,Miyolophone,36,speedrun,,Mandragora,2018,2:33,2021-03-12
231,Myopia,Approaching Nirvana,29,"chillstep, complextro, gaming edm",Dance/Electronic,Myopia,2019,3:16,2021-03-12
232,Valley of a Thousand Falls,Melodysheep,13,downtempo fusion,Classical,Midnight Sun,2014,4:30,2021-03-12
233,Rebirth,Melodysheep,18,downtempo fusion,Classical,Continuum E.P.,2018,3:19,2021-03-12
234,Just Like Gold - Blaikz & BlackBonez Radio Edit,"Fytch,Naika,Blaikz,BlackBonez",41,"bass trap, filthstep, future bass, traprun,",Dance/Electronic,Just Like Gold (Blaikz & BlackBonez Remix),2016,3:27,2021-03-12
235,Neon Rainbow,"Rameses B,Anna Yvette",34,"chillstep, complextro, edm, electro house, gaming edm, melodic dubstep,",Dance/Electronic,Neon Rainbow,2016,4:12,2021-03-12
236,Dizzy - Radio Edit,"Balduin,Wolfgang Lohr,Alanna Lyes",42,"electro swing, nu jazz,","Easy listening, Dance/Electronic",Dizzy,2017,2:53,2021-03-12
237,Booty Swing,Parov Stelar,63,"downtempo, electro swing, nu jazz, tropical house","Dance/Electronic, Easy listening","The Princess, Pt. Two",2012,3:17,2021-03-12
238,Delight,"Jamie Berry,Octavia Rose",53,"electro swing, nu jazz,","Easy listening, Dance/Electronic",Delight,2012,5:44,2021-03-12
239,No Swinggity,Minimatic,46,electro swing,Easy listening,No Swinggity,2015,3:31,2021-03-12
240,Still Awake,Biometrix,30,"bass trap, traprun",Dance/Electronic,Still Awake,2019,3:12,2021-03-12
241,Battle,Sweepz,35,"bass trap, traprun",Dance/Electronic,Battle,2018,2:41,2021-03-12
242,Highscore,"Panda Eyes,Teminite",59,"edm, gaming edm, speedrun",Dance/Electronic,KIKO,2015,4:19,2021-03-12
243,I'd Love To Change The World - Matstubs Remix,"Jetta,Matstubs",66,"metropopolis, bass trap, traprun",Dance/Electronic,I'd Love To Change The World (Matstubs Remix),2015,3:09,2021-03-12
244,Cinnamon Girl - Radio Edit,"[dunkelbunt],Boban i Marko Marcovic Orkestar",44,"balkan brass, electro swing, nu jazz,","Dance/Electronic, Easy listening",Raindrops And Elephants Piranha Re:Interpretations,2009,4:00,2021-03-12
245,Back in Time,"Swing Republic,Karina Kappel",41,"electro swing, nu jazz,","Easy listening, Dance/Electronic",Back in Time,2018,3:18,2021-03-12
246,Get Up - Original Mix,"Jazzotron,Sofija Knezevic",33,"electro swing, nu jazz,","Easy listening, Dance/Electronic",I Can Swing,2013,3:42,2021-03-12
247,Cafe Noir,LVDS,22,electro swing,Easy listening,Cafe Noir,2019,2:54,2021-03-12
248,Simple & Clean,"Kiba,hherb",37,,,Simple & Clean,2019,5:21,2021-03-12
249,State of Mind,Shadow Cliq,35,,,State of Mind,2020,3:55,2021-03-12
250,Naked Soul,"Nurko,Cherney,Elle Vee",39,"edm, future bass, melodic dubstep, pop edm, traprun, dubstep, gaming dubstep,",Dance/Electronic,Naked Soul,2019,4:00,2021-03-12
251,Can't Wait,"Mylky,Barren Gates",32,"nz dnb, traprun, bass trap, gaming edm",Dance/Electronic,Can't Wait,2019,3:17,2021-03-12
252,Strange Young World,"Rånya,Hidden Citizens",40,"epicore, modern alternative rock","Easy listening, Rock",Strange Young World,2017,3:54,2021-03-12
253,Play with Fire (feat. Yacht Money),"Sam Tinnesz,Yacht Money",75,"indie poptimism, modern rock, rebel blues,","Pop, Rock, Blues",Play with Fire (feat. Yacht Money),2017,3:00,2021-03-12
254,Only One King,"Tommee Profitt,Jung Youth",63,"anthem worship,",Folk/Acoustic,Cinematic Songs (Vol. 3),2018,3:30,2021-03-12
255,Kamikazee,MISSIO,48,"electropop, indie poptimism, modern alternative rock, modern rock, rock","Pop, Rock",Loner,2017,3:41,2021-03-12
256,Black Sea,Natasha Blume,56,,,Black Sea,2016,4:13,2021-03-12
257,Sinking,"Arcando,Egzod,Abigail Rose",37,"pop edm, traprun, bass trap, gaming edm,",Dance/Electronic,Sinking,2020,2:49,2021-03-12
258,Untold Stories,"LFZ,Aleana Redd",36,"gaming edm,",Dance/Electronic,Untold Stories,2019,4:15,2021-03-12
259,Just for a Moment,"Serion,Airmow,RIELL",27,traprun,Dance/Electronic,Just for a Moment,2018,3:16,2021-03-12
260,Good News,Apashe,51,"bass trap, traprun",Dance/Electronic,Renaissance,2020,4:44,2021-03-12
261,A Hero Will Rise,Future World Music,39,epicore,Easy listening,A Hero Will Rise,2012,3:52,2021-03-12
262,Cruel,The EverLove,34,rebel blues,Blues,Walk Through Fire,2018,3:47,2021-03-12
263,Feet Don't Fail Me Now,Neoni,36,modern alternative rock,Rock,Feet Don't Fail Me Now,2018,3:15,2021-03-12
264,Roll of the Dice,King No-One,34,"english indie rock, modern alternative rock, york indie",Rock,Roll of the Dice,2020,3:46,2021-03-12
265,Hold Me Up,Sam Tinnesz,32,"indie poptimism, modern rock, rebel blues","Pop, Rock, Blues",White Doves,2020,3:33,2021-03-12
266,Chant,Lucha,2,"arab trap, traprun",Dance/Electronic,Stars,2019,2:36,2021-03-12
267,RA,Lucha,12,"arab trap, traprun",Dance/Electronic,RA,2019,2:28,2021-03-12
268,Wake Me Up,Lucha,9,"arab trap, traprun",Dance/Electronic,Wake Me Up,2019,3:31,2021-03-12
269,Omega,Lucha,10,"arab trap, traprun",Dance/Electronic,Omega,2019,2:22,2021-03-12
270,Zelus,"Lucha,Spinner Sunny",13,"arab trap, traprun,",Dance/Electronic,Zelus,2020,3:04,2021-03-12
271,Gang,Lucha,13,"arab trap, traprun",Dance/Electronic,Gang,2019,3:21,2021-03-12
272,Beta,Lucha,26,"arab trap, traprun",Dance/Electronic,Beta,2020,2:54,2021-03-12
273,Heart of Mine,"WE ARE FURY,Kobra Paige",26,"bass trap, future bass, melodic dubstep, pop edm, traprun,",Dance/Electronic,DUALITY,2020,3:37,2021-03-12
274,Right Here Right Now,"Lux Holm,Glaceo",27,,,Right Here Right Now,2019,3:06,2021-03-12
275,Highway,F.O.O.L,17,"complextro, dark clubbing, edm, electro house, gaming edm",Dance/Electronic,Highway,2018,4:50,2021-03-12
276,Twisted Reality,"Unknown Brain,Anna Yvette",43,"bass trap, gaming edm, traprun,",Dance/Electronic,Twisted Reality,2017,3:06,2021-03-12
277,Would You Let Me,"Folded Dragons,Akacia,EthanUno",23,,,Would You Let Me,2018,3:11,2021-03-12
278,Wake Up,"Egzod,Chris Linton",40,"bass trap, gaming edm, pop edm, traprun, uk dance",Dance/Electronic,Wake Up,2017,3:02,2021-03-12
279,Animate,Sweeper,35,,,Animate,2019,4:44,2021-03-12
280,Butterflies,"William Black,Fairlane,Dia Frampton",53,"edm, melodic dubstep, pop edm, traprun, future bass,",Dance/Electronic,Butterflies,2020,3:21,2021-03-12
281,Silent Running - Epic Trailer Version,Hidden Citizens,45,"epicore, modern alternative rock","Easy listening, Rock",Silent Running (Epic Trailer Version),2015,3:55,2021-03-12
282,Beautiful,"Drew Wilken,Mason Murphy",24,,,Beautiful,2019,2:53,2021-03-12
283,Make You Mine,Kaii Dreams,21,,,Make You Mine,2020,3:30,2021-03-12
284,Divine,"KEDALOS,THROVN",27,traprun,Dance/Electronic,Divine,2020,2:31,2021-03-12
285,Never Let You Leave,"Outr3ach,Annamarie Rosanio",26,"canadian electronic,",Dance/Electronic,Never Let You Leave,2019,2:24,2021-03-12
286,Fancy Toys,"LBLVNC,THROVN,RIELL",41,traprun,Dance/Electronic,Fancy Toys,2019,2:48,2021-03-12
287,Falling,"Diviners,Harley Bird",56,"deep tropical house, gaming edm, pop edm, la pop","Dance/Electronic, Pop",Falling,2018,3:20,2021-03-12
288,Desert,Inova,26,"arab trap, bass trap, traprun",Dance/Electronic,Desert,2018,3:57,2021-03-12
289,Demons (feat. Micah Martin),"WE ARE FURY,Micah Martin",48,"bass trap, future bass, melodic dubstep, pop edm, traprun,",Dance/Electronic,Signal Fires,2017,4:26,2021-03-12
290,Slow (feat. Kevin Underground),"Rich Edwards,Kevin Underground",36,"electro house, gaming edm, pop edm,",Dance/Electronic,Slow (feat. Kevin Underground),2019,2:37,2021-03-12
291,10 Million Thoughts,"Robi,Catas",0,,,10 Million Thoughts,2019,4:24,2021-03-12
292,Prism,"KDrew,DEELYLE",39,"brostep, complextro, edm, electro house, gaming edm,",Dance/Electronic,Prism,2019,2:45,2021-03-12
293,Dauntless,Audiomachine,45,"epicore, scorecore, video game music",Easy listening,Ascendance,2018,3:14,2021-03-12
294,Countless,Isolated,34,melodic dubstep,Dance/Electronic,Countless,2018,4:20,2021-03-12
295,Origin,"Besomorph,Neoni",41,"bass trap, slap house, traprun, modern alternative rock","Dance/Electronic, Rock",Origin,2020,3:19,2021-03-12
296,Estrangement,Animadrop,33,melodic dubstep,Dance/Electronic,Estrangement,2018,5:11,2021-03-12
297,To The Stars,Braken,45,gaming edm,Dance/Electronic,To The Stars,2013,3:22,2021-03-12
298,Basilisk,Ryllz,24,"dutch edm, traprun",Dance/Electronic,Basilisk,2020,3:04,2021-03-12
299,We Won't Be Alone,"Feint,Laura Brehm",60,"chillstep, edm, gaming edm, pop edm",Dance/Electronic,We Won't Be Alone,2015,3:54,2021-03-12
300,Tidal Wave,"Far Out,Nevve",36,"bass trap, gaming edm, melodic dubstep, pop edm, traprun,",Dance/Electronic,Bridges in Time,2020,4:04,2021-03-12
301,Yoshimitsu,"TOMYGONE,BEATSMASH",45,"bass trap, traprun",Dance/Electronic,Yoshimitsu,2018,2:56,2021-03-12
302,Look Away,Romen Jewels,22,traprun,Dance/Electronic,Look Away,2019,2:54,2021-03-12
303,Isolated,"AK,Sublab",33,"chillstep, vapor twitch, wave",Dance/Electronic,Isolated,2018,4:06,2021-03-12
304,One Hundred Strings,Secession Studios,35,epicore,Easy listening,The Untold,2016,3:04,2021-03-12
305,The Calling,"Marcus Warner,Claudia White",36,"epicore,",Easy listening,The Calling,2014,4:57,2021-03-12
306,Comet,"Paper Skies,Slyleaf",34,"canadian electronic, future bass,",Dance/Electronic,Comet,2018,4:30,2021-03-12
307,We Are The Lights,"Varien,Mr FijiWiji",35,"chillstep, complextro, dark clubbing, downtempo, edm, electro house, filthstep, gaming edm, future bass",Dance/Electronic,We Are the Lights,2015,4:06,2021-03-12
308,Leave It Behind,Lucha,16,"arab trap, traprun",Dance/Electronic,Leave It Behind,2020,3:00,2021-03-12
309,Vortex,Satara,24,traprun,Dance/Electronic,Vortex,2019,3:30,2021-03-12
310,Time,"Airmow,ROSA",2,"traprun,",Dance/Electronic,Time,2020,3:25,2021-03-12
311,Flow,"Cosmouse,VØJ",42,"samurai trap, traprun",Dance/Electronic,Flow,2018,2:48,2021-03-12
312,Hemispheres,Jo Blankenburg,36,"downtempo, epicore, scorecore, soundtrack","Dance/Electronic, Easy listening",Hemispheres,2020,4:30,2021-03-12
313,Sunken,Inova,0,"arab trap, bass trap, traprun",Dance/Electronic,Inova - Sunken,2018,4:42,2021-03-12
314,Wings of Apocalypse,Eternal Eclipse,24,epicore,Easy listening,Wings of Apocalypse,2018,2:37,2021-03-12
315,The Last Funeral,Eternal Eclipse,34,epicore,Easy listening,Forgotten Odes,2020,2:41,2021-03-12
316,Theory of Light,Eternal Eclipse,33,epicore,Easy listening,Forgotten Odes,2020,1:49,2021-03-12
317,Hidden Machinations,Eternal Eclipse,38,epicore,Easy listening,Forgotten Odes,2020,2:57,2021-03-12
318,Reach,Eternal Eclipse,35,epicore,Easy listening,Forgotten Odes,2020,2:34,2021-03-12
319,Legions of Doom,Audiomachine,38,"epicore, scorecore, video game music",Easy listening,Chronicles,2012,2:29,2021-03-12
320,Ghost Spores,"Varien,Laura Brehm",32,"chillstep, complextro, dark clubbing, downtempo, edm, electro house, filthstep, gaming edm, pop edm",Dance/Electronic,The Ancient & Arcane,2015,5:09,2021-03-12
321,Retribution,Epic Score,34,epicore,Easy listening,Epic Orchestral Action (Inferno),2019,2:42,2021-03-12
322,Elation,Inova,11,"arab trap, bass trap, traprun",Dance/Electronic,Elation,2020,2:58,2021-03-12
323,I Will End Where He Begins,"Skrybe,Shae",23,"samurai trap,",,I Will End Where He Begins,2018,5:11,2021-03-12
324,I Want Your Soul,Mike Hawkins,39,danish electronic,Dance/Electronic,I Want Your Soul,2019,2:49,2021-03-12
325,Luck,Neo Noir,36,pop edm,,Luck,2018,2:46,2021-03-12
326,Yearning Hearts,Eternal Eclipse,35,epicore,Easy listening,Forgotten Odes,2020,2:35,2021-03-12
327,Eye For An Eye,8 Graves,0,"indie poptimism, rebel blues","Pop, Blues",Eye For An Eye,2020,3:25,2021-03-12
328,Letting Go,"Eminus,Anna B May",25,,,Letting Go,2018,5:47,2021-03-12
329,Cyanide,"Barren Gates,Kuoga.",26,"bass trap, gaming edm, traprun",Dance/Electronic,Cyanide,2019,3:12,2021-03-12
330,Dancing with Flames,"Secession Studios,Greg Dombrowski",39,"epicore,",Easy listening,Heart of Darkness,2019,4:04,2021-03-12
331,Born To Die,"Besomorph,Coopex,EthanUno",5,"bass trap, slap house, traprun,",Dance/Electronic,Born To Die,2020,2:30,2021-03-12
332,All In My Head,"Cemre Emin,Berfin",31,,,All In My Head,2019,3:01,2021-03-12
333,In Between,MXT,31,,,In Between,2019,3:35,2021-03-12
334,Where Do We Go,Gidexen,30,traprun,Dance/Electronic,Where Do We Go,2019,3:04,2021-03-12
335,Heroes Fall,"Hidden Citizens,ESSA",45,"epicore, modern alternative rock,","Easy listening, Rock",Black Clouds,2017,4:04,2021-03-12
336,Night of the Drowned,Dream Cave,25,,,Dark Regimen,2016,2:41,2021-03-12
337,Breaking Point,"Pieces of Eden,Amadea Music Productions",22,,,The Dark Kingdom,2019,2:25,2021-03-12
338,Last Man Standing,"Aaron Velen,Epic Music World",13,,,Last Man Standing,2020,2:57,2021-03-12
339,Samurai,Deaf Kev,44,gaming edm,Dance/Electronic,Samurai,2016,5:35,2021-03-12
340,Your Soul Is Beautiful,Killigrew,39,chillstep,,Odyssey,2019,4:48,2021-03-12
341,Valkyrie,"Varien,Laura Brehm",48,"chillstep, complextro, dark clubbing, downtempo, edm, electro house, filthstep, gaming edm, pop edm",Dance/Electronic,Valkyrie,2014,3:27,2021-03-12
342,Stars (Whales Remix),"Whales,Omri",26,"bass trap, dubstep, gaming dubstep, gaming edm,",Dance/Electronic,Stars (Whales Remix),2016,4:53,2021-03-12
343,Afterlight (Piano Version),Eternal Eclipse,31,epicore,Easy listening,Forgotten Odes,2020,2:18,2021-03-12
344,Hands Up,City Wolf,39,"modern alternative rock, rebel blues","Rock, Blues",Hands Up,2019,3:24,2021-03-12
345,Let the Sky Fall Down,"Mr FijiWiji,Matt Van",33,"chillstep, complextro, edm, electro house, future bass, gaming edm,",Dance/Electronic,Lost Lost Lost,2018,4:36,2021-03-12
346,Perseus,"Unknown Brain,Chris Linton",53,"bass trap, gaming edm, traprun, uk dance",Dance/Electronic,Perseus,2017,3:16,2021-03-12
347,Gone,Inova,16,"arab trap, bass trap, traprun",Dance/Electronic,Gone,2019,3:20,2021-03-12
348,Strangers,Far Out,43,"bass trap, gaming edm, melodic dubstep, pop edm, traprun",Dance/Electronic,Strangers,2019,3:08,2021-03-12
349,Enraged,Inova,19,"arab trap, bass trap, traprun",Dance/Electronic,Farewell,2018,3:19,2021-03-12
350,The Calm Before the Storm,Zack Hemsey,25,"epicore, scorecore",Easy listening,Goliath (Original Motion Picture Soundtrack to a Film That Doesn't Exist),2018,1:15,2021-03-12
351,Godhunter,Aviators,50,"antiviral pop, otacore",Pop,Godhunter,2019,5:54,2021-03-12
352,Hush the Storms Away,"Varien,STRIX",43,"chillstep, complextro, dark clubbing, downtempo, edm, electro house, filthstep, gaming edm,",Dance/Electronic,Hush the Storms Away,2019,3:51,2021-03-12
353,Reckless,"Dread Pitt,Anna Simone",40,"bass trap, traprun,",Dance/Electronic,Reckless,2019,3:24,2021-03-12
354,Unfold,Inova,15,"arab trap, bass trap, traprun",Dance/Electronic,Farewell,2018,5:18,2021-03-12
355,See the Light,Vosai,39,,,See the Light,2020,2:40,2021-03-12
356,Back to Black,"Besomorph,N3WPORT,Elijah Hill,RIELL",35,"bass trap, slap house, traprun, gaming edm, pop edm",Dance/Electronic,Back to Black,2019,3:08,2021-03-12
357,Origins,Faux Tales,33,"chillstep, future bass, melodic dubstep",Dance/Electronic,Origins,2018,4:02,2021-03-12
358,"QUIXOTE [i am alone, and they are everyone]",Crywolf,41,"chillstep, edm, indie poptimism, melodic dubstep","Dance/Electronic, Pop",widow [OBLIVIØN Pt. I],2019,4:03,2021-03-12
359,Lament for the Lost Souls,"Felicia Farerre,Phil Rey",18,epicore,Easy listening,Lost Souls,2017,4:08,2021-03-12
360,Optocell,Really Slow Motion,38,epicore,Easy listening,Charged,2015,3:14,2021-03-12
361,Heart Of The Darkness,"Tommee Profitt,Sam Tinnesz",48,"anthem worship, indie poptimism, modern rock, rebel blues","Folk/Acoustic, Pop, Rock, Blues",Cinematic Songs (Vol. 2),2017,3:49,2021-03-12
362,Ready to Fight,"Roby Fayer,Tom Gefen",48,,,Ready to Fight,2014,3:46,2021-03-12
363,Good As Gold,The Phantoms,37,"modern alternative rock, modern hard rock, rebel blues","Rock, Blues",Good As Gold - Single,2015,2:39,2021-03-12
364,All the King's Men,The Rigs,47,"la pop, rebel blues","Pop, Blues",Gray,2015,4:42,2021-03-12
365,This Is Our Time,"Hidden Citizens,Rånya",37,"epicore, modern alternative rock,","Easy listening, Rock",Aella,2019,3:41,2021-03-12
366,Fight For You,"Hidden Citizens,Alaina Cross",25,"epicore, modern alternative rock,","Easy listening, Rock",Aella,2019,4:01,2021-03-12
367,O Fortuna - Epic Trailer Version,Hidden Citizens,34,"epicore, modern alternative rock","Easy listening, Rock","Revivals, Vol. 2 (Epic Trailer Version)",2020,3:23,2021-03-12
368,Another One Bites the Dust - Epic Trailer Version,"Hidden Citizens,JAXSON GAMBLE",34,"epicore, modern alternative rock, rebel blues","Easy listening, Rock, Blues",Reawakenings,2016,3:15,2021-03-12
369,Let Me Out,"Hidden Citizens,Rånya",36,"epicore, modern alternative rock,","Easy listening, Rock",Black Clouds,2017,3:17,2021-03-12
370,Down Come the Rain,"Hidden Citizens,Adam Christopher",29,"epicore, modern alternative rock, viral pop","Easy listening, Rock, Pop",Black Clouds,2017,4:04,2021-03-12
371,Built for Pain,"Esterly,Austin Jenckes",40,"rebel blues, country pop","Country, Blues",Built for Pain,2018,3:25,2021-03-12
372,March,Watt White,18,"modern alternative rock, rebel blues, wrestling","Rock, Blues, Metal",March,2019,3:24,2021-03-12
373,A Painting in Paris,Arrested Youth,46,"modern alternative rock, modern rock, rock",Rock,Fear,2018,3:33,2021-03-12
374,Darkness,Hopex,37,"bass trap, traprun, turkish trap",Dance/Electronic,Darkness,2019,3:06,2021-03-12
375,Hiding Away,"Gidexen,Sweepz,Veronica Bravo",24,"traprun, bass trap,",Dance/Electronic,Feel / Hiding Away,2020,2:42,2021-03-12
376,Farewell,Inova,31,"arab trap, bass trap, traprun",Dance/Electronic,Farewell,2018,3:05,2021-03-12
377,The Skies Above (At Zanarkand),"Nobuo Uematsu,Freya Catherine",24,"anime score, chiptune, final fantasy, japanese classical, japanese vgm, video game music,","Pop, Dance/Electronic, Folk/Acoustic, Classical, Easy listening",Freya Volume. 1,2015,4:09,2021-03-12
378,Feel No Pain,IMAscore,35,epicore,Easy listening,Kaleidoscope (End of Silence - Vocal Epic Trailer Music),2017,2:10,2021-03-12
379,I See Fire,"Freya Catherine,Jack Green",24,,,Freya Vol. 3,2019,5:20,2021-03-12
380,Oathkeeper,Eternal Eclipse,24,epicore,Easy listening,Wings of Apocalypse,2018,3:33,2021-03-12
381,Providence,Eternal Eclipse,37,epicore,Easy listening,Forgotten Odes,2020,2:21,2021-03-12
382,Riptide,grandson,58,"modern alternative rock, modern rock, rock",Rock,Riptide,2020,3:12,2021-03-12
383,Murthdeep,Arkana,11,melodic dubstep,Dance/Electronic,Murthdeep,2020,2:55,2021-03-12
384,When the Shadow Reveals You,Sky Mubs,40,,,Hope Inside Us,2018,3:44,2021-03-12
385,Vanguard,Jo Blankenburg,40,"downtempo, epicore, scorecore, soundtrack","Dance/Electronic, Easy listening",Vanguard,2020,3:48,2021-03-12
386,Ride of the Revenant,Eternal Eclipse,24,epicore,Easy listening,Wings of Apocalypse,2018,3:04,2021-03-12
387,Born from Ashes,Eternal Eclipse,38,epicore,Easy listening,Forgotten Odes,2020,3:07,2021-03-12
388,Dawn of Faith,Eternal Eclipse,45,epicore,Easy listening,Forgotten Odes,2020,3:13,2021-03-12
389,Revolution,Eternal Eclipse,37,epicore,Easy listening,Forgotten Odes,2020,2:32,2021-03-12
390,Spear of Atlantis,Eternal Eclipse,19,epicore,Easy listening,Doomsday,2020,2:50,2021-03-12
391,True Love's Last Kiss,Eternal Eclipse,37,epicore,Easy listening,Forgotten Odes,2020,3:17,2021-03-12
392,The Game Is Afoot,Eternal Eclipse,35,epicore,Easy listening,Forgotten Odes,2020,2:34,2021-03-12
393,The Ritual,Eternal Eclipse,34,epicore,Easy listening,Forgotten Odes,2020,2:48,2021-03-12
394,Shape of Lies,Eternal Eclipse,47,epicore,Easy listening,Forgotten Odes,2020,2:52,2021-03-12
395,Doomsday,Eternal Eclipse,21,epicore,Easy listening,Doomsday,2020,2:42,2021-03-12
396,World on Fire,Les Friction,45,"epicore, modern alternative rock","Easy listening, Rock",Les Friction (Instrumental Bonus Tracks Version),2012,3:51,2021-03-12
397,For Her Heart,Sid Acharya,38,,,For Her Heart,2019,4:39,2021-03-12
398,Deo Volente,Boom Kitty,25,speedrun,,Deo Volente,2019,3:40,2021-03-12
399,Golden Fleece,"Flawx,ampir3",6,,,Full Flavor,2020,3:11,2021-03-12
400,Desert,Inova,0,"arab trap, bass trap, traprun",Dance/Electronic,Desert,2018,3:57,2021-03-12
401,Crazy Train,Joseph William Morgan,43,epicore,Easy listening,Rediscover,2019,3:01,2021-03-12
402,Isolation,Inova,40,"arab trap, bass trap, traprun",Dance/Electronic,Isolation,2018,4:21,2021-03-12
403,Neverland,"Slashtaq,Kalu",41,,,Neverland,2018,2:38,2021-03-12
404,Cloak and Dagger,Eternal Eclipse,39,epicore,Easy listening,Forgotten Odes,2020,2:40,2021-03-12
405,Our Reckoning,Secession Studios,38,epicore,Easy listening,Fate of Gods,2015,2:53,2021-03-12
406,Barracuda,Noisestorm,50,"chillstep, edm, electro house, gaming edm, speedrun",Dance/Electronic,Barracuda,2015,4:22,2021-03-12
407,Europa,Globus,40,"bow pop, epicore","Classical, Easy listening",Epicon (UK Version),2006,4:02,2021-03-12
408,March of Warriors,Instrumental Core,41,epicore,Easy listening,March of Warriors,2014,5:20,2021-03-12
409,"Wake The Fuck Up, Samurai","Brian Delgado,Epic Music World",38,,,"Wake The Fuck Up, Samurai",2019,3:16,2021-03-12
410,Afterlife,Iván Torrent,44,epicore,Easy listening,Immortalys,2017,3:59,2021-03-12
411,Brotherhood,John Dreamer,0,epicore,Easy listening,Brotherhood,2011,4:03,2021-03-12
412,Revolution,"UNSECRET,Ruelle",48,"rebel blues, electropop, indie poptimism, metropopolis, modern alternative rock, pop","Pop, Dance/Electronic, Rock, Blues",Revolution,2018,4:37,2021-03-12
413,Icarus (feat. Julie Elven),"Iván Torrent,Julie Elven",46,"epicore,",Easy listening,Reverie - The Compilation Album,2014,4:35,2021-03-12
414,Never Say Die,Neoni,51,modern alternative rock,Rock,Never Say Die,2019,4:00,2021-03-12
415,La Venturasi,CITALIB KENTABO,0,,,La Venturasi,2019,3:14,2021-03-12
416,Come and Get Me,Sleeping Wolf,31,"indie poptimism, modern alternative rock","Pop, Rock",The Dark,2015,3:25,2021-03-12
417,Words,"Feint,Laura Brehm",51,"chillstep, edm, gaming edm, pop edm",Dance/Electronic,Words,2016,4:36,2021-03-12
418,Believer,"Sybrid,PLEXXAGLASS",41,"epicore,",Easy listening,Believer,2020,3:12,2021-03-12
419,I'm Not Afraid,"Tommee Profitt,Wondra",51,"anthem worship,",Folk/Acoustic,Cinematic Songs (Vol. 1),2017,4:14,2021-03-12
420,Turn Left,"Snavs,WiDE AWAKE",51,"bass trap, danish electronic, electro house, electronic trap, future bass, pop edm, traprun, vapor twitch",Dance/Electronic,Turn Left,2018,3:15,2021-03-12
421,"The Still, Cold World (Bonus Track)",Piotr Musiał,41,video game music,Easy listening,Frostpunk (Original Soundtrack),2018,2:29,2021-03-12
422,Envisage,Keith Merrill,43,epicore,Easy listening,Envisage,2019,4:44,2021-03-12
423,Oblivion,"Zayde Wølf,Neoni",43,"modern alternative rock, rebel blues","Rock, Blues",Oblivion,2019,4:38,2021-03-12
424,Beast,8 Graves,1,"indie poptimism, rebel blues","Pop, Blues",White,2019,3:24,2021-03-12
425,The Champion,The Score,12,"modern alternative rock, modern rock",Rock,The Champion,2020,2:40,2021-03-12
426,Hero,"Tommee Profitt,Mike Mains",40,"anthem worship,",Folk/Acoustic,Cinematic Songs (Vol. 2),2017,3:51,2021-03-12
427,No Limits,Royal Deluxe,48,rebel blues,Blues,Savages,2019,3:43,2021-03-12
428,Bullet With Butterfly Wings,Tribe Society,47,electronic rock,Rock,Delirium Sonata,2015,4:16,2021-03-12
429,Casualty,"Hidden Citizens,Tash",44,"epicore, modern alternative rock,","Easy listening, Rock",Celestine,2018,4:31,2021-03-12
430,Road to Glory,Audiomachine,35,"epicore, scorecore, video game music",Easy listening,Chronicles,2012,1:52,2021-03-12
